case_num,notes,cancer,med,organization,quantity,body part,gender,breed,condition
SL23-000750,Patient diagnosed with left anal sac adenocarcinoma in July 2021.  Underwent carboplatin.  Recurrent and metastatic disease noted in 10/2022.  Underwent surgical removal of tumor and LN.  Then received Palladia.  Additional mets noted recently.  Received SRT for those.\r\n  Metastatic anal sac adenocarcinoma histopath on page 4-5 of document.\r\n  Male\r\n  Hound Mix\r\n  Canine\r\n  Neutered,"['left anal sac adenocarcinoma', 'metastatic disease', 'tumor', 'Metastatic anal sac adenocarcinoma']","['carboplatin', 'Palladia']",['SRT'],,,,,"['LN', 'Neutered']"
SL23-000751,No chemo at this time.\r\n  consistent with a chondrosarcoma.\r\n  Female\r\n  Great Dane\r\n  Canine\r\n  Spayed,,['chemo'],,,,,,
SL23-000752,"1cm mass on medial aspect of palmar pad removed 5/5/23. histopath 5/9/23 cutaneous hemangiosarcoma incompletely excised June 20, 23 excision with 2cm margins  amputation of digits 1  2 Doxorubicin treatment Aug 4, Aug 21, Sept 6. Originally submitted 8/21/23. Cancelled 8/24/23 poor sample.\r\n  cutaneous hemangiosarcoma\r\n  Male\r\n  French Bulldog\r\n  Canine\r\n  Neutered",['cutaneous hemangiosarcoma'],['Doxorubicin'],,,,,,
SL23-000753,see attached\r\n  Malignant neoplasia (likely histiocytic sarcoma)\r\n  Female\r\n  Bernese Mountain Dog\r\n  Canine\r\n  Intact,['Malignant neoplasia'],,,,,,,['Intact']
SL23-000754,"Suspicious of malignant tumour in the neck region, unable to biopsy due to excessive haemorrhage\r\n  suspicious of thyroid carcinoma\r\n  Female\r\n  Mixed Breed\r\n  Canine\r\n  Intact",['malignant tumour'],,,,,,,['Intact']
SL23-000757,"On 7/28/23, Eilish presented to Miramar Animal Hospital with a two week history of a mass of the rostral mandible.  Blood work performed was unremarkable, and surgical biopsies were recommended.  This was performed on 8/1/23 and histopathology was consistent with a spindle cell malignancy. On 8/9/23 Eilish underwent a partial mandibulectomy procedure at Capital Veterinary Specialists.  Histopathology was consistent with a completely excised oral malignant melanoma with a mitotic count of 42/10 h\r\n  Oral malignant melanoma\r\n  Female\r\n  Lab Mix\r\n  Canine\r\n  Spayed","['spindle cell malignancy', 'oral malignant melanoma']",,"['Miramar Animal Hospital', 'Capital Veterinary Specialists']",['mitotic count'],,['Eilish'],['Eilish'],['mass']
SL23-000760,Presented for ADR on 8/24 - AUS revealed mottled liver and and enlarged spleen with several large masses.\r\n  Hemo. Histiocytic Sarcoma\r\n  Male\r\n  Golden Retriever\r\n  Canine\r\n  Intact,,,"['ADR', 'AUS']",,,,,['Intact']
SL23-000761,Soft tissue sarcoma surgical removed with no margins. On no treatment at this time.\r\n  Soft tissue sarcoma Grade 2\r\n  Female\r\n  Boxer\r\n  Canine\r\n  Spayed,"['Soft tissue sarcoma', 'Soft tissue sarcoma']",['treatment'],,,,,,
SL23-000763,pancreatic mass\r\n  Malignant pancreatic islet cell tumour\r\n  Female\r\n  West Highland White Terrier\r\n  Canine\r\n  Spayed,,,,,,,,
SL23-000764,"Evaluted for TPLO in July of this year and found to have elevated LE.  Investigated with US and had a quadrate Liver lobe of concern, went to surgery to have removed and consistent with hepatocellular carcinoma.  Incomplete resection since attached to gall bladder wall and gall bladder resected as well\r\n  Hepatocellular carcinoma\r\n  Female\r\n  Great Pyrenees\r\n  Canine\r\n  Spayed",['hepatocellular carcinoma'],['US'],,,,,,['LE']
SL23-000765,"Started about 3-4 weeks ago with cough, mild  got a little worse, then would try to hack something up   panting more on exertion eating well and drinking normal.  no medications at this time\r\n  carcinoma,\r\n  Male\r\n  Mixed Breed\r\n  Canine\r\n  Neutered",,['medications'],,,,,,"['cough', 'mild']"
SL23-000768,8/12/23 presented to rdvm for exam and have a few masses looked at.  Mass on Left hind foot concern for spindle cell tumor.  9/7/23 surgery to remove mass and showed STS grade 3.\r\n  STS Grade 3\r\n  Male\r\n  Other\r\n  Canine\r\n  Neutered,['spindle cell tumor'],,['rdvm'],,,,,
SL23-000769,"Metastatic AGASACA, PD on toceranib phosphate\r\n  Metastatic AGASACA\r\n  Male\r\n  Mixed Breed\r\n  Canine\r\n  Neutered",,,,,,,,['Neutered']
SL23-000770,last dose of Carboplatin 9/8 (dose #2)\r\n  renal adenocarcinoma\r\n  Female\r\n  German Shepherd Dog\r\n  Canine\r\n  Intact,['Intact'],['Carboplatin'],,,,,,
SL23-000771,History of pulmonary neoplasia. CXR and CT consistent with 2 tumors - both biopsied as carcinoma\r\n  Pulmonary carcinoma\r\n  Male\r\n  Mixed Breed\r\n  Canine\r\n  Neutered,['pulmonary neoplasia'],['CXR'],,['2'],,,,
SL23-000773,"See Attached document.\r\n  Sarcoma, Left tibia\r\n  Male\r\n  Mixed Breed\r\n  Canine\r\n  Neutered",['Sarcoma'],,,,,,,['Neutered']
SL23-000776,The searchlight DNA test is being requested from the tissue that was resected from the maxilla.  The gross tissue was removed and the patient will receive radiation therapy and melanoma vaccine for treatment.\r\n  Amelanotic Melanoma\r\n  Female\r\n  German Shepherd Dog\r\n  Canine\r\n  Spayed,,"['radiation therapy', 'melanoma vaccine']",,,,['Spayed'],,
SL23-000775,Pet has a left maxillary oral melanoma with confirmed metastasis to left mandibular lymph node. CT scan performed for staging is pending.\r\n  Metastatic oral melanoma\r\n  Male\r\n  Mixed Breed\r\n  Canine\r\n  Neutered,['left maxillary oral melanoma'],,,,,,['Pet'],"['metastasis', 'Neutered']"
SL23-000777,"Gennie presented for acute collapse and upon presentation was diagnosed with a nontraumatic hemoabdomen. A blood transfusion was intiated, but she continued to decline and an active bleed was suspected. She was taken to surgery on an emergant basis and a 6 cm mass on the tail of the spleen was noted and actively bleeding. There werer 1.5 and 5 mm masses noted in the body of the spleen. The spleen was removed routinely and no other concerns were noted in the abdomen.\r\n  suspected hemangiosarcoma\r\n  Female\r\n  Beagle\r\n  Canine\r\n  Spayed",,['blood transfusion'],,,,['Gennie'],['Spayed'],"['hemoabdomen', 'active bleed', 'bleeding', 'concerns']"
SL23-000778,"Previous diagnosis: Spindle Cell Tumor, Mandibulectomy- undifferentiated sarcoma, potential Melanoma\r\n  Undifferentiated sarcoma, potential Melanoma\r\n  Male\r\n  Belgian Malinois\r\n  Canine\r\n  Intact","['Spindle Cell Tumor', 'undifferentiated sarcoma', 'Undifferentiated sarcoma']",,,,,,,['Intact']
SL23-000782,ON no chemo meds at this time\r\n  Mast cell\r\n  Female\r\n  Pitbull\r\n  Canine\r\n  Spayed,,['chemo meds'],,,,,,
SL23-000785,Owner wanted to explore possible treatment options.\r\n  Anaplastic gastric sarcoma with metastasis\r\n  Female\r\n  Miniature Schnauzer\r\n  Canine\r\n  Spayed,['Anaplastic gastric sarcoma'],,,,,,,
SL23-000791,Patient is developing numerous fibromas. All tumors removed have been benign. No current cancer therapy.\r\n  Nodular dermatofibrosis\r\n  Female\r\n  Chesapeake Bay Retriever\r\n  Canine\r\n  Spayed,['tumors'],,,,,,,"['fibromas', 'benign']"
SL23-000792,": Bella was presented for evaluation of a previously diagnosed hepatocellular carcinoma on CT scan and cytology from 9-27-23. Abdominal ultrasound from 9-27-23 showed multiple hepatic masses with the largest extending into the mid abdominal area. On cytology, the atypia in the hepatocytes raise the concern for a well-differentiated hepatocellular carcinoma. A biopsy for histopathology is recommended to confirm the diagnosis. CBC from 9-27-23 showed anemia (Hct 33%) and chemistry profile showed e\r\n  Hepatocellular carcinoma\r\n  Female\r\n  Mixed Breed\r\n  Canine\r\n  Spayed","['hepatocellular carcinoma', 'hepatocellular carcinoma']",,,,,"['Bella', 'Spayed']",,"['hepatic masses', 'atypia', 'anemia']"
SL23-000793,See wonderful attached report.\r\n  Histiocytic sarcoma.\r\n  Female\r\n  Golden Retriever\r\n  Canine\r\n  Spayed,,,,,,,,
SL23-000794,"See wonderful report attached for history.\r\n  APOCRINE ADENOCARCINOMA, CYSTIC INTRADUCTULAR. Skin fold of tail.\r\n  Female\r\n  Bulldog\r\n  Canine\r\n  Spayed",,,,,,,['APOCRINE ADENOCARCINOMA'],
SL23-000795,MASS ON LIVER LOBE on no chemo at this time.\r\n  Hemangiosarcoma\r\n  Male\r\n  Mixed Breed\r\n  Canine\r\n  Neutered,,['chemo'],,,,,,['Neutered']
SL23-000796,Tumor removed at re vet.\r\n  Malignant melanoma\r\n  Female\r\n  German Shepherd Dog\r\n  Canine\r\n  Spayed,,,,,,,,
SL23-000797,History of seizures and elevated liver enzymes. On routine recheck exam Internist noted L axillary mass. Cytology concerning for high grade sarcoma. CT revealed mineralized soft tissue attenuating contrast-enhancing mass L axilla; no primary tumor identified. Final biopsy revealed lymph node with metastatic poorly differentiated neoplasia and segmental capsule invasion.\r\n  Metastatic poorly differentiated neoplasia\r\n  Female\r\n  Dachshund\r\n  Canine\r\n  Spayed,"['L axillary mass', 'high grade sarcoma', 'primary tumor', 'metastatic poorly differentiated neoplasia']",,,,,,,"['seizures', 'liver enzymes']"
SL23-000817,"I'm a vet. pathologists who's dog was dx with histiocytic sarcoma in the lumbosarcal area. Surgery was done and CNNU started about 2wks later.  Two CCNU cycles were completed and Ruby then started radiation (Radiation was backlogged). In the 8-10wks to get to radiation, I felt I saw some ataxia. Radiation worked well. Ruby is back on CCNU but I spoke with my friend Craig Clifford, oncologist, who felt genomics would be useful.\r\n  histiocytic sarcoma, around L6\r\n  Female\r\n  Goldendoodle\r\n  Canine\r\n  Spayed","['histiocytic sarcoma', 'histiocytic sarcoma']","['CNNU', 'CCNU', 'radiation', 'Radiation', 'radiation', 'Radiation']","['vet. pathologists', 'CCNU']",['backlogged'],,['Spayed'],"['dog', 'Ruby', 'Ruby']",['ataxia']
SL23-000800,"Bubbi was presented with a history of a scrotal mass that was removed on 2/1/23. Histopathology revealed it to be a completely excised mast cell tumor. Bubbi's owner reports two additional masses appeared near the previous incision around August. Fine needle aspirate performed on 8/18/23 at the primary vet was reported to revealed inflammatory cells and no mast cells. Recheck on 9/1/23 revealed the masses to have grown significantly and become red, inflammed and ulcerated.\r\n  Mast Cell Tumor\r\n  Male\r\n  Mixed Breed\r\n  Canine\r\n  Neutered",['mast cell tumor'],,['primary vet'],['two'],,,"['Bubbi', 'Bubbi']","['scrotal mass', 'red', 'inflammed', 'Neutered']"
SL23-000802,"Hx of AGASACA - left anal sac (narrowly excised) and abdominal lymph nodes (incompletely excised) removed 1/5/23. Treated with Carbo x5, AUS prioor to last dose showed no disease progression, Palladia started, recheck AUS 7/11/23 new sublumbar lymphadenopathy, recommended RT, CT showed abdominal lymphadenopathy, sx 8/30/23, started Mito AUS prior to starting mito recurrent lymphadenopathy\r\n  metastatic AGASACA\r\n  Male\r\n  Mixed Breed\r\n  Canine\r\n  Neutered",,"['Carbo x5', 'AUS prioor', 'RT', 'Mito AUS']",,,,,,"['disease progression', 'Palladia', 'sublumbar lymphadenopathy', 'abdominal lymphadenopathy', 'Neutered']"
SL23-000803,HS case looking for additional options.\r\n  Histiocytic sarcoma.\r\n  Male\r\n  Bernese Mountain Dog\r\n  Canine\r\n  Intact,['Intact'],,['HS case'],,,,,
SL23-000805,Liver mass noted in Nov 2022 and monitored. July 2023 was noted to be larger. Oct 2023 - liver is almost completely effaced by abnormal tissue. FNA showed malignant neoplasia.\r\n  HCC vs neuroendocrine carcinoma\r\n  Male\r\n  Australian Shepherd\r\n  Canine\r\n  Neutered,['HCC'],,,,,,,['Neutered']
SL23-000806,"ANOREXIA AND PRESENTED TO THE ER FOR AN ABD MASS IN SPLEEN. SPLENECTOMY TREATMENTS: CARBOPLATIN, IMMUNOTHERAPY\r\n  VISERAL SARCOMA GR 3/METASTATIC SARCOMA\r\n  Female\r\n  Labrador Retriever\r\n  Canine\r\n  Spayed",,"['CARBOPLATIN', 'VISERAL SARCOMA GR 3']",['ER'],,,,,
SL23-000808,Right medial liver lobe debulking. History of elevated liver values\r\n  WELL-DIFFERENTIATED HEPATOCELLULAR CARCINOMA\r\n  Female\r\n  Golden Retriever\r\n  Canine\r\n  Spayed,,,,,,,,
SL23-000809,1 week history of lymphadenopathy.\r\n  Lymphoma\r\n  Female\r\n  Boxer\r\n  Canine\r\n  Spayed,,,,,,,,
SL23-000810,Patient had two mast cell tumors within a quick period of time and is somewhat young.  From very strong breeding lines and owner wants more information on genetics.  MSU panel was unremarkable with negative C-kit mutation 8  11\r\n  Multiple mast cell tumors (2 in 4 months)\r\n  Male\r\n  Golden Retriever\r\n  Canine\r\n  Intact,"['mast cell tumors', 'tumors', 'Intact']",,['MSU panel'],"['two', '2']",,,['breeding lines'],
SL23-000811,"GB sludge since 2014. Hepatopathy starting 2019, progressive over 4h. Newly diagnosed splenic mass July 2023. Liverlobectomy, cholcystectomy, splenectomy performed 8/28/23. On ursadiol, milk thistle. No chemotherapy started. Look for alternative options for treatment of moderate to high grade splenic sarcoma.\r\n  Moderate to high grade splenic sarcoma; hepatocellular carcinoma\r\n  Male\r\n  Mixed Breed\r\n  Canine\r\n  Neutered",['splenic sarcoma'],"['ursadiol', 'milk thistle', 'chemotherapy', 'treatment']",['GB sludge'],,,,,"['Hepatopathy', 'splenic mass']"
SL23-000812,"dog has B cell lymphoma that has been treated with multiple chemotherapy protocols including CHOP, mitoxantrone, Tanovea and lomustine, currently not in remission\r\n  B cell lymphoma\r\n  Female\r\n  Golden Retriever\r\n  Canine\r\n  Spayed",['B cell lymphoma'],"['chemotherapy protocols', 'CHOP', 'mitoxantrone', 'Tanovea', 'lomustine']",,,,,['dog'],
SL23-000813,Recently diagnosed with lymphoma via peripheral lymphadenopathy and enlarged spleen.\r\n  Lymphoma.\r\n  Female\r\n  Labrador Retriever\r\n  Canine\r\n  Spayed,['lymphoma'],,,,,,,['peripheral lymphadenopathy']
SL23-000814,"Hx of multiple mammary masses excised 7/8/22. One of three was complex mamamry carcinoma, grade1. Others were benign. This mass was discovered during evaluation for possible pregnancy. OVH performed at time of mass removal.\r\n  Gastrointestinal Stromal Tumor or Leiomyosarcoma\r\n  Female\r\n  Mixed Breed\r\n  Canine\r\n  Spayed","['complex mamamry carcinoma', 'Tumor']",,,,,,,"['benign', 'pregnancy']"
SL23-000815,"Weight loss noted over last month. Ultrasound found large mass effacing left kidney with additional nodules in the left pancreas, region of the hepatic nodes and prostate.\r\n  Renal carcinoma with metastatic disease\r\n  Male\r\n  Pomeranian\r\n  Canine\r\n  Neutered",['Renal carcinoma'],,,,,,,['Weight loss']
SL23-000816,Was seen at reg vet diagnosed with Melanoma. No chemo\r\n  Melanoma\r\n  Male\r\n  Other\r\n  Canine\r\n  Neutered,['Melanoma'],,['reg vet'],,,,,['Neutered']
SL23-000821,see attachment\r\n  Anal gland adenocarcinoma\r\n  Female\r\n  Mixed Breed\r\n  Canine\r\n  Spayed,,,,,,,,
SL23-000822,Mammary CA with lymph node metastases\r\n  2310Q19079 mammary carcinoma\r\n  Female\r\n  Russell Terrier\r\n  Canine\r\n  Spayed,['Mammary CA'],,,,,,,
SL23-000823,2310Q19442 Thyroid carcinoma with metastasis to liver and spleen\r\n  Thyroid carcinoma\r\n  Male\r\n  Bohemian Shepherd\r\n  Canine\r\n  Neutered,['Thyroid carcinoma'],,,,,,,"['metastasis', 'Neutered']"
SL23-000825,B-cell lymphoma out of remission after completing CHOP. Starting Tanovea today. Interested in additional oral drugs to add to protocol.\r\n  Lymphoma\r\n  Male\r\n  Rottweiler\r\n  Canine\r\n  Neutered,['B-cell lymphoma'],"['Tanovea', 'oral drugs']",['CHOP'],,,,,"['remission', 'Neutered']"
SL23-000827,"Administered palliative RT 12/27/22, metronomic 6/2023, ECT 10/2023\r\n  Soft tissue sarcoma\r\n  Male\r\n  Dalmatian\r\n  Canine\r\n  Neutered",,"['palliative', 'RT', 'ECT']",,,,,,
SL23-000826,"Pet is being treated with Palladia 50mg tablets 2 tablets on Mon, Wed, and Fri.\r\n  apocrine gland anal sac adenocarcinoma\r\n  Male\r\n  German Shepherd Dog\r\n  Canine\r\n  Neutered",,['Palladia 50mg tablets'],,,,,['Pet'],['Neutered']
SL23-000828,"wner reports the oral papillomatosis was first noticed in August 2022, and in April started to steadily increased. The lesions have been treated with L-lysine, cimetidine, and azithromycin, along with partial ablation, CPV-1/2 vaccine, imiquimod ointment, and oral human recombinant interferon alpha 2B with no improvement and continued progression.\r\n  Mandible (left), gingival soft tissue: papillary squamous cell carcinoma\r\n  Male\r\n  Australian Shepherd\r\n  Canine\r\n  Neutered",,"['L-lysine', 'cimetidine', 'azithromycin', 'partial ablation', 'CPV-1/2 vaccine', 'imiquimod ointment', 'human recombinant interferon alpha 2B']",,,,,,"['oral papillomatosis', 'lesions', 'Neutered']"
SL23-000829,"Patient had longstanding mass on dorsal lumbar spine.  Recently started getting bigger about 3 months ago.  High grade sarcoma that was making bone, mitotic index 30\r\n  Extra-skeletal MLTOB of the subcutaneous tissues, high grade\r\n  Male\r\n  Saint Bernard\r\n  Canine\r\n  Neutered",['High grade sarcoma'],,,,,['Saint'],,"['mass', 'mitotic index', 'Neutered']"
SL23-000831,"Daisy presented to MedVet Oncology on 10/5/23 to discuss treatment options for thyroid carcinoma. On 8/8/23 Daisy went to Pet Care Center to address a lump on her neck and to recheck a long standing ear infection. Full labwork was performed and a recheck was scheduled for 8/15/23 to FNA the mass. The mass was sampled and sent to IDEXX where is was interpreted as epithelial cell proliferation, suspicious for a thyroid tumor. On 8/24/23 Daisy went to VSGNO for a CT scan. The image report revealed\r\n  Thyroid carcinoma\r\n  Female\r\n  Mixed Breed\r\n  Canine\r\n  Spayed","['thyroid carcinoma', 'thyroid tumor']",,"['MedVet Oncology', 'Pet Care Center', 'FNA', 'IDEXX', 'VSGNO']",,,,"['Daisy', 'Daisy', 'Daisy']","['lump', 'ear infection', 'epithelial cell proliferation']"
SL23-000833,"Palladia 30mg Mon, Wed, and Fri. Started 10/10/2023.\r\n  Carcinoma\r\n  Female\r\n  Beagle\r\n  Canine\r\n  Spayed",,['Palladia'],,['30mg'],,,,
SL23-000836,see order form V9597\r\n  hematopoetic neoplasm? or inflammation?\r\n  Male\r\n  Pyrenean Shepherd\r\n  Canine\r\n  Intact,['hematopoetic neoplasm'],,,,,,,['Intact']
SL23-000835,"multiple nodules in liver, first submission of FFPE without DNA, now cytos submitted, but these show different picture - see report attached.....\r\n  carcinoma\r\n  Male\r\n  Pyrenean Shepherd\r\n  Canine\r\n  Intact",['Intact'],,,,,,,
SL23-000837,2310Q91285\r\n  Renal Carcinoma\r\n  Male\r\n  Mixed Breed\r\n  Canine\r\n  Neutered,,,,,,,,
SL23-000838,Currently on sorafenib.  Sequencing to determine if other options are avail\r\n  cholagniocarcinoma\r\n  Male\r\n  Other\r\n  Canine\r\n  Neutered,,['sorafenib'],,,,,,['Neutered']
SL23-000839,"1)MCT, SQ R lat thorax - incompletely excised 8.9.23, MI 9, AUS/cyto of liver and spleen neg for met; submitted for Torigen autologous vaccine production; started Palladia chemotherapy 9.5.23, ECT 9.5.23 and 9.18.23; recheck today - local recurr  susp met to R axillary LN. 2)MCT, subcut R ventral thorax - excised 8.9.23, grade II, narrow margins - recurrence and susp met to R ax LN. Histopath report provided; obtained FNA today of susp R axill LN for analysis of metastatic population if desired\r\n  Mast Cell Tumor - recurrent, susp metastatic. FNA of LN to be sent from BARC if desired for analysis of metastatic population.\r\n  Male\r\n  Golden Retriever\r\n  Canine\r\n  Neutered",['Mast Cell Tumor'],"['Torigen', 'Palladia chemotherapy', 'ECT']",['BARC'],,,,,"['grade II', 'recurrence', 'susp', 'metastatic population', 'recurrent', 'LN', 'Neutered']"
SL23-000840,Patient has multiple sebaceous lesions present and this one on his medial thigh grew more quickly recently and was bothersome to him.  It ulcerated on the surface and would bleed spontaneously.  There is a 2nd lesion that was taken distally to that is pending with the dermatologist\r\n  Sebaceous carcinoma\r\n  Male\r\n  Cocker Spaniel\r\n  Canine\r\n  Neutered,,,,,,,,"['sebaceous lesions', 'ulcerated', 'Neutered']"
SL23-000842,"History - Groot is an 9 year old, neutered male, Boxer returning to Oncology for lymphoma and anal gland carcinoma. He presented to the Animal Hospital of Oshkosh on 05OCT21 for enlarged lymph nodes that were first noted 2 days prior. Physical exam found mild enlargement of the mandibular and popliteal lymph nodes. Lymph node cytology came back as lymphoma- possibly T zone lymphoma. On 21SEP21 he was evaluated and his lymph nodes were within normal limits at that time see attached MR for tx\r\n  * Progressive disease in sub sacral lymph node on CT at UW (17-Feb-2023) * Start Palladia (05-Dec-2022) * Sublumbar lymphadenopathy (02-Dec-2022) * Right Anal gland ACA, excisd 19OCT21, - recurrence removed 10MAY22 (11-Oct-2021) * Mildly enlarged right medial iliac lymph node (27-Apr-2022) * Splenic nodules on CT (not visible on US) (27-Apr-2022) * 2 small pulmonary nodules (27-Apr-2022) * Lymphocytosis (23-Mar-2022) * Lymphoma- T zone (11-Oct-2021)\r\n  Male\r\n  Boxer\r\n  Canine\r\n  Neutered","['lymphoma', 'anal gland carcinoma', 'lymphoma', 'Splenic nodules', 'Lymphocytosis']",,"['Oncology', 'Animal Hospital of Oshkosh', 'UW']",['2'],,['male'],"['Groot', 'Boxer']","['normal limits', 'Palladia', 'Sublumbar lymphadenopathy', 'recurrence']"
SL23-000900,digital melanoma- digit 5- referred to oncologist- will upload info\r\n  melanoma- metastatic\r\n  Male\r\n  Poodle (Standard)\r\n  Canine\r\n  Neutered,,,,,,,['Poodle'],['Neutered']
SL23-000848,"History of a 3.6 cm pulmonary carcinoma, completely excised from left caudal lung lobe.  Grade II with no lymphovascular invasion\r\n  Grade II pulmonary carcinoma\r\n  Female\r\n  Pitbull\r\n  Canine\r\n  Spayed",['pulmonary carcinoma'],,,,,,,"['Grade II', 'Grade II']"
SL23-000849,"2310Q91292 (A30714) Transitional cell carcinoma\r\n  Transitional cell carcinoma, samples taken via endoscopy. Currently in treatment with Palladia and Vinblastine.\r\n  Female\r\n  Labrador Retriever\r\n  Canine\r\n  Spayed",['Transitional cell carcinoma'],['Palladia'],,,,,,
SL23-000852,See attached history.\r\n  Epitheliotropic lymphoma.\r\n  Female\r\n  Labrador Retriever\r\n  Canine\r\n  Spayed,,,,,,,,
SL23-000855,Just diagnosed with metastatic prostatic carcinoma. Pet has a prostate mass extendxing into the prostatic urethra. Currently on meloxicam. Received first dose of carboplatin chemotherapy today. Has sublumbar lymphadenopathy/mineralized LN and a single pulmonary nodule.\r\n  Prostatic carcinoma\r\n  Male\r\n  Poodle (Toy)\r\n  Canine\r\n  Neutered,['metastatic prostatic carcinoma'],"['meloxicam', 'carboplatin']",,,,,"['Pet', 'Poodle']","['prostate mass', 'sublumbar lymphadenopathy', 'mineralized LN', 'Neutered']"
SL23-000856,"diagnosed with T cell lymphoma, has been treated with LOPP, also Adria, and L-aspar, COP, mechlorethamine and Laverdia, just got Tanovea today,\r\n  T cell lymphoma\r\n  Male\r\n  Mixed Breed\r\n  Canine\r\n  Neutered",['T cell lymphoma'],"['LOPP', 'Adria', 'L-aspar', 'COP', 'mechlorethamine', 'Laverdia', 'Tanovea']",,,,,,
SL23-000857,"History of vomiting, diarrhea, decreased appetite, and weight loss. Diagnosed with intestinal mass\r\n  Jejunal mass - Transmural mucinous intestinal adenocarcinoma with mural and mesenteric lymphatic invasion\r\n  Male\r\n  Boston Terrier\r\n  Canine\r\n  Neutered",['Transmural mucinous intestinal adenocarcinoma'],,,,,,,"['vomiting', 'diarrhea', 'decreased appetite', 'weight loss', 'Jejunal mass']"
SL23-000860,"HISTORY OF MULTIPLE MAMMARY GLAND TUMORS.\r\n  MAMMARY CARCINOMA,GRADE 2,INTERMEDIATE GRADE\r\n  Female\r\n  Siberian Husky\r\n  Canine\r\n  Spayed",,,,,,,,['MAMMARY CARCINOMA']
SL23-000858,"see attached, employee family pet\r\n  cutaneous LSA\r\n  Male\r\n  Bernese Mountain Dog\r\n  Canine\r\n  Neutered",,,['employee'],,,,,
SL23-000861,Intermediate B-cell lymphoma out of remission after 1st cycle of CHOP. Starting Tanovea chemotherapy today.\r\n  Lymphoma out of remission\r\n  Male\r\n  Vizsla\r\n  Canine\r\n  Intact,"['B-cell lymphoma', 'Lymphoma']","['CHOP', 'Tanovea', 'chemotherapy']",,,,,,"['remission', 'Intact']"
SL23-000859,PP for possible TRA vs. oral mass yesterday. DNT performed today - large mass found in right aspect of oral cavity extending from TMJ region. Mass debulked to allow P to close mouth.\r\n  Melanoma vs. SCC vs. FSA\r\n  Male\r\n  Chihuahua\r\n  Canine\r\n  Neutered,"['Melanoma', 'SCC']",,,,,,,['TRA']
SL23-000862,completed his intensity modulated  ]radiation therapy protocol on 26 SEP 2023\r\n  spinal nephroblastoma\r\n  Male\r\n  Dachshund\r\n  Canine\r\n  Neutered,,"['intensity modulated', 'radiation therapy protocol']",,,,,,
SL23-000864,"completely excised, high grade II mast cell tumor over left flank (MC 11/10hpf) (re-excision 3/31/23 - started vinblastine).Splenectomy 10/13/23 : Hemangiosarcoma.\r\n  splenic hemangiosarcoma\r\n  Male\r\n  Golden Retriever\r\n  Canine\r\n  Neutered",['mast cell tumor'],,,,,,,
SL23-000865,"history of lymphocytosis CBC: LYMPH 8255 Flow Cytometry on Blood: The majority of the lymphocytes in this patient are T cells that express CD5 and CD3 but have lost expression of CD45, which is typically expressed on lymphocytes. This immunophenotype pattern is commonly seen in T-zone lymphoma. This is a low grade lymphoma characterized by a mild to moderate persistent lymphadenopathy and often, mild  Lymphocytosis\r\n  LSA\r\n  Female\r\n  American Staffordshire Terrier\r\n  Canine\r\n  Spayed","['T-zone lymphoma', 'lymphoma']",,,,,,,['lymphadenopathy']
SL23-000866,"Multifocal intrathoracic/pulmonary histiocytic sarcoma. Treated with radiation therapy and CCNU with good remission for 3-6 months. Now recurrent, restarting CCNU but hoping for targeted therapy.\r\n  Pulmonary HS with LN metastasis\r\n  Female\r\n  Tibetan Terrier\r\n  Canine\r\n  Spayed",['Multifocal intrathoracic/pulmonary histiocytic sarcoma'],"['radiation therapy', 'CCNU', 'CCNU']",,,,['Spayed'],['Tibetan'],['recurrent']
SL23-000869,"Longterm issues:Prostate carcinoma - Diagnosed 9/2021 ,  mitoxantrone 11/2021-1/2022; palladia  2/2022 based on Vidium; Intestinal carcinoma (surgery 12/2022, complete removal);Multicentric lymphoma, at least stage 3-4a, CHOP chemo started 8/2023; Progressive/relapsed lymphoma (Elspar booster (#2 10/19/2023)\r\n  Lymphoma\r\n  Male\r\n  Poodle (Standard)\r\n  Canine\r\n  Neutered","['Prostate carcinoma', 'palladia', 'Intestinal carcinoma', 'lymphoma']","['mitoxantrone', 'CHOP chemo', 'Elspar booster']",,,,,['Poodle'],"['stage 3-4a', 'Progressive/relapsed', 'Neutered']"
SL23-000868,Malignant melanoma. Started melanoma vaccine. Looking for chemotherapy options.\r\n  Melanoma too big to resect with surgery\r\n  Male\r\n  Mixed Breed\r\n  Canine\r\n  Neutered,"['melanoma', 'Melanoma']","['melanoma vaccine', 'chemotherapy']",,,,,,
SL23-000870,History of pathological fracture. Amputation and biopsy revealed osteosarcoma\r\n  Osteosarcoma\r\n  Male\r\n  Saint Bernard\r\n  Canine\r\n  Neutered,,,,,,,,['pathological fracture']
SL23-000871,"Hx of amelanonotic melanoma, treated with Sx and RT, Carboplatin chemo and melanoma vaccine. Recurrance plus additonal SQ nodules recently excised.\r\n  Melanoma w/ local regional SQ met. dz\r\n  Female\r\n  Doberman Pinscher\r\n  Canine\r\n  Spayed","['amelanonotic melanoma', 'Melanoma']","['Sx', 'RT', 'Carboplatin chemo', 'melanoma vaccine']",,,,,,['Recurrance']
SL23-000872,"Incidental finding of large abdominal mass on physical exam (patient seen for a broken toe)\r\n  neuroendocrine tumor (unknown tissue of origin), appeared caudal to the kidney involving ureter and vena cava\r\n  Male\r\n  Labrador Retriever\r\n  Canine\r\n  Neutered",['neuroendocrine tumor'],,,,,,,['abdominal mass']
